Country,2020,2021,2022
Saint Lucia,1499,1867,2343
Saint Vincent and the Grenadines,864,888,970
Sudan,35237,35142,33517
Suriname,2912,3084,3631
Sweden,545148,637187,579896
Switzerland,741288,814699,828522
Syria,60043,null,null
Taiwan,676861,776965,765624
Tajikistan,8134,8934,10493
Tanzania,63373,67964,74173
Thailand,500462,506195,495645
Timor-Leste,2163,3625,3209
Togo,7400,8338,8144
Tonga,503,520,515
Trinidad and Tobago,20991,24177,28510
Tunisia,42494,46813,44596
Turkey,717114,807893,905800
Turkmenistan,52385,60934,77963
Tuvalu,52,62,61
Uganda,37889,42805,47276
Ukraine,156566,199835,161987
United Arab Emirates,349473,415179,502732
United Kingdom,2698705,3144079,3125404
United States,21354125,23681175,26006900
Uruguay,53557,60742,70600
Uzbekistan,66443,77340,90125
Vanuatu,1008,921,1072
Venezuela,42838,56615,89013
Vietnam,346310,370076,411068
Palestine,15532,18109,19166
Yemen,20220,19394,23534
Zambia,18138,22096,29164
Zimbabwe,26878,36016,32613
