Country,2020,2021,2022
Afghanistan,20136,14278,14501
Albania,15271,18086,19185
Algeria,164774,185850,225709
Andorra,2885,3325,3376
Angola,66521,84375,142442
Antigua and Barbuda,1412,1602,1867
Argentina,385218,486040,632318
Armenia,12642,13879,19514
Aruba,2486,2929,3279
Australia,1362613,1655843,1725461
Austria,434050,480786,472339
Azerbaijan,42693,54825,78807
Bahamas,9958,11369,13136
Bahrain,35838,40840,46458
Bangladesh,373902,416265,460201
Barbados,5168,5275,6257
Belarus,61312,68207,73735
Belgium,529269,598892,593906
Belize,2043,2421,2847
Benin,15674,17699,17439
Bhutan,2586,2623,2869
Bolivia,36897,40701,44329
Bosnia and Herzegovina,20226,23673,24535
Botswana,14930,18750,20321
Brazil,1476092,1670650,1951849
Brunei,12006,14006,16682
Bulgaria,70658,84477,90719
Burkina Faso,17837,19747,19588
Burundi,3089,3356,3922
Cape Verde,1831,2053,2309
Cambodia,34898,36797,39838
Cameroon,40863,45036,44442
Canada,1655685,2022382,2190411
Central African Republic,2389,2585,2460
Chad,14954,16881,17867
Chile,254060,315411,301270
China,15103357,18190803,18307816
Colombia,270348,318525,345632
Comoros,1218,1273,1223
Democratic Republic of the Congo,49613,55327,63324
Republic of the Congo,11485,13387,13967
Costa Rica,62382,64954,69235
Ivory Coast,63119,72833,71075
Croatia,57919,69055,71260
Cyprus,25535,30393,31001
Czech Republic,251110,290973,301831
Denmark,355631,408378,401946
Djibouti,3144,3393,3563
Dominica,504,555,607
Dominican Republic,78625,95067,113813
Ecuador,95865,107179,116133
Egypt,382525,423300,475231
El Salvador,24921,29043,31989
Equatorial Guinea,9908,12222,13717
Eritrea,1982,null,null
Estonia,31795,37229,38406
Eswatini,3984,4851,4791
Ethiopia,96611,99261,118958
Fiji,4432,4305,4970
Finland,269784,294419,280474
France,2645806,2968405,2797049
Gabon,15364,19455,20485
Gambia,1809,2045,2135
Georgia,16013,18849,24985
Germany,3936989,4351188,4166872
Ghana,70008,79514,73919
Greece,191210,218449,219053
Grenada,1043,1123,1231
Guatemala,77718,86467,95631
Guinea,14089,16320,19589
Guinea-Bissau,1523,1722,1721
Guyana,5471,8041,14718
Haiti,14508,21017,19826
Honduras,23190,27950,31233
Hong Kong,344941,368954,358680
Hungary,158468,183283,178321
Iceland,21630,25770,28696
India,2674852,3167271,3346107
Indonesia,1059055,1186510,1319101
Iran,195528,289294,376254
Iraq,182576,210753,288059
Ireland,436205,531660,549003
Israel,410771,489854,525183
Italy,1905956,2180656,2105722
Jamaica,13885,14674,17003
Japan,5054069,5039148,4262146
Jordan,43762,46362,48722
Kazakhstan,171082,197112,225496
Kenya,100912,109875,114733
Kiribati,222,285,271
South Korea,1744456,1942314,1799363
Kosovo,7728,9418,9375
Kuwait,111048,148455,183977
Kyrgyzstan,8283,9256,12269
Laos,18511,18533,15121
Latvia,33353,38209,38045
Lebanon,24976,19782,24748
Lesotho,2092,2445,2275
Liberia,3037,3509,3974
Libya,46893,35216,43281
Lithuania,57352,67068,71082
Luxembourg,73612,86444,80865
Macau,25344,30969,24998
Madagascar,13051,14355,15326
Malawi,11847,12475,12531
Malaysia,337456,373785,407605
Maldives,3706,5242,6168
Mali,17491,19320,19319
Malta,16397,19737,19254
Marshall Islands,242,259,253
Mauritania,8464,9126,9564
Mauritius,11408,11484,12908
Mexico,1121065,1316569,1466465
Federated States of Micronesia,373,392,416
Moldova,11530,13694,14493
Mongolia,13313,15286,17146
Montenegro,4777,5865,6243
Morocco,121354,142022,130952
Mozambique,14235,16168,18884
Myanmar,65631,58264,61723
Namibia,10583,12399,12564
Nauru,125,176,152
Nepal,33434,36927,41183
Netherlands,931814,1055173,1047364
New Zealand,210541,249775,245203
Nicaragua,12730,14208,15634
Niger,13764,14923,15458
Nigeria,432299,441074,476468
North Macedonia,12385,14008,13957
Norway,367633,503368,596298
Oman,75909,87324,109853
Pakistan,300410,348481,374850
Palau,259,236,248
Panama,57087,67407,76523
Papua New Guinea,23848,26113,31653
Paraguay,35432,39951,41953
Peru,206461,226268,244419
Philippines,361751,394087,404353
Poland,605930,689253,695734
Portugal,229435,256226,257101
Puerto Rico,103131,106427,113567
Qatar,144411,179732,235709
Romania,252372,286783,296928
Russia,1488118,1828927,2295527
Rwanda,10174,11066,13313
Samoa,869,844,833
San Marino,1543,1857,1833
São Tomé and Príncipe,476,529,546
Saudi Arabia,734271,874157,1108571
Senegal,24534,27584,27750
Serbia,55874,65830,66798
Seychelles,1384,1490,2018
Sierra Leone,6682,7165,7119
Singapore,349166,436591,509018
Slovakia,107646,120672,116020
Slovenia,53342,61570,59975
Solomon Islands,1536,1523,1566
Somalia,8628,9484,10203
South Africa,337876,420778,406755
South Sudan,5423,5940,8037
Spain,1288751,1462216,1447636
Sri Lanka,84304,88609,74584
Saint Kitts and Nevis,884,859,981
